reflection,trial,propertyType,property
280,1,e0,0.4156438537475221
280,1,c0,0.6800703168869042
280,1,s0,0.0631866455078125
280,1,e1,0.9626070721971438
280,1,c1,0.9728423585831448
280,1,s1,0.903778076171875
280,2,e0,0.9230298352946927
280,2,c0,0.9554386139590038
280,2,s0,0.8072357177734375
280,2,e1,0.8078113490132612
280,2,c1,0.8736964018162605
280,2,s1,0.4450225830078125
280,3,e0,0.8513753318946934
280,3,c0,0.9276566044178928
280,3,s0,0.522979736328125
280,3,e1,0.9630042193061611
280,3,c1,0.9741985520989779
280,3,s1,0.8352203369140625
280,4,e0,0.7508818384245174
280,4,c0,0.8672656072865161
280,4,s0,0.365203857421875
280,4,e1,0.9204178293084638
280,4,c1,0.9403094061369284
280,4,s1,0.855712890625
280,5,e0,0.3205423960266959
280,5,c0,0.6961938816838482
280,5,s0,0.1085205078125
280,5,e1,0.8684373826936274
280,5,c1,0.9126286514069035
280,5,s1,0.2868499755859375
280,6,e0,0.769944899657346
280,6,c0,0.8532221322379836
280,6,s0,0.1253204345703125
280,6,e1,0.5875780021743804
280,6,c1,0.7062023450378362
280,6,s1,0.4883575439453125
280,7,e0,0.9444146796263915
280,7,c0,0.9607581561858196
280,7,s0,0.6741790771484375
280,7,e1,0.8018541423780023
280,7,c1,0.8751059772206764
280,7,s1,0.548248291015625
280,8,e0,0.7026437395677283
280,8,c0,0.8633752071395986
280,8,s0,0.1224212646484375
280,8,e1,0.9477140556089965
280,8,c1,0.9600518830112899
280,8,s1,0.7677459716796875
280,9,e0,0.8272562824662988
280,9,c0,0.9403779845660359
280,9,s0,0.2740631103515625
280,9,e1,0.5924354168154378
280,9,c1,0.7568533087996604
280,9,s1,0.465484619140625
280,10,e0,0.3731185633050582
280,10,c0,0.6765823427889727
280,10,s0,0.039581298828125
280,10,e1,0.49996123996964875
280,10,c1,0.8518347013858922
280,10,s1,0.2824554443359375
280,11,e0,0.6881631449774065
280,11,c0,0.8190822061675668
280,11,s0,0.1478271484375
280,11,e1,0.6413761605574113
280,11,c1,0.7778265393823969
280,11,s1,0.534637451171875
280,12,e0,0.9101836538068651
280,12,c0,0.9598379573047113
280,12,s0,0.4955291748046875
280,12,e1,0.6235961899844845
280,12,c1,0.8213578399323738
280,12,s1,0.2864227294921875
280,13,e0,0.6968392818205529
280,13,c0,0.8666060215394987
280,13,s0,0.0654449462890625
280,13,e1,0.7526690004150951
280,13,c1,0.838620097659861
280,13,s1,0.396392822265625
280,14,e0,0.7079135762066112
280,14,c0,0.865218588556996
280,14,s0,0.1945953369140625
280,14,e1,0.9614309057589004
280,14,c1,0.970582641184433
280,14,s1,0.9440765380859375
280,15,e0,0.501687302404993
280,15,c0,0.7048998120829606
280,15,s0,0.0570220947265625
280,15,e1,0.7006121793562169
280,15,c1,0.793215408524338
280,15,s1,0.423431396484375
280,16,e0,0.9138801768984873
280,16,c0,0.9650755787457912
280,16,s0,0.4115142822265625
280,16,e1,0.4823187433959973
280,16,c1,0.6923777762705566
280,16,s1,0.2734222412109375
280,17,e0,0.5095385952524882
280,17,c0,0.7999831399545371
280,17,s0,0.01641845703125
280,17,e1,0.5936726828089146
280,17,c1,0.8239684943188249
280,17,s1,0.3016204833984375
280,18,e0,0.7074247797647438
280,18,c0,0.8600204506886414
280,18,s0,0.1608123779296875
280,18,e1,0.8668182444799416
280,18,c1,0.924481861075217
280,18,s1,0.501190185546875
280,19,e0,0.6150728020294217
280,19,c0,0.7409033802498604
280,19,s0,0.0542144775390625
280,19,e1,0.6098029653905388
280,19,c1,0.7623921108659507
280,19,s1,0.4220733642578125
280,20,e0,0.5001292637465407
280,20,c0,0.6994351301689002
280,20,s0,0.02825927734375
280,20,e1,0.9238699541791523
280,20,c1,0.9529346959692776
280,20,s1,0.7025299072265625
280,21,e0,0.5898234108292089
280,21,c0,0.811585040456697
280,21,s0,0.05120849609375
280,21,e1,0.8333204133232163
280,21,c1,0.9420559182976593
280,21,s1,0.37799072265625
280,22,e0,0.8345576793166931
280,22,c0,0.9342962048517159
280,22,s0,0.68829345703125
280,22,e1,0.6422162794418709
280,22,c1,0.7661235545833371
280,22,s1,0.4298248291015625
280,23,e0,0.4307201690013697
280,23,c0,0.6681194147981153
280,23,s0,0.014556884765625
280,23,e1,0.7543186884063976
280,23,c1,0.8422643354136417
280,23,s1,0.3844146728515625
280,24,e0,0.5851492948538518
280,24,c0,0.769279109413701
280,24,s0,0.0803985595703125
280,24,e1,0.9408250807564278
280,24,c1,0.9610313054211161
280,24,s1,0.6868896484375
280,25,e0,0.6059078687444079
280,25,c0,0.73232390958944
280,25,s0,0.0881195068359375
280,25,e1,0.6337387161532331
280,25,c1,0.8858974556594968
280,25,s1,0.5235595703125
