bottle,trial,propertyType,property
30,1,e0,0.3520785419294211
30,1,c0,0.20888761969612524
30,1,s0,0.0677883204538785
30,1,e1,0.29965130944432083
30,1,c1,0.054811855441276855
30,1,s1,0.04137728651080896
30,2,e0,0.29668373024705097
30,2,c0,0.14933627121990722
30,2,s0,0.022791744106426686
30,2,e1,0.3382298390088286
30,2,c1,0.3446655493496436
30,2,s1,0.037464540741465324
30,3,e0,0.32537032915399267
30,3,c0,0.34429809590271565
30,3,s0,0.08148293064658124
30,3,e1,0.34020822514034177
30,3,c1,0.3399239548867396
30,3,s1,0.04235547295314487
30,4,e0,0.28975937878675473
30,4,c0,0.3358552286227449
30,4,s0,0.0677883204538785
30,4,e1,0.28975937878675473
30,4,c1,0.05995950648251195
30,4,s1,0.0560500831458476
30,5,e0,0.3956030368227119
30,5,c0,0.38300342494412676
30,5,s0,0.05800645603051942
30,5,e1,0.3768083685733363
30,5,c1,0.2955433365447539
30,5,s1,0.030617235645113962
30,6,e0,0.2541484284195168
30,6,c0,0.2758913735377714
30,6,s0,0.028660862760442142
30,6,e1,0.301629695575834
30,6,c1,0.2219201099045342
30,6,s1,0.024748116991098506
30,7,e0,0.26206197294556965
30,7,c0,0.1612711936970105
30,7,s0,0.030617235645113962
30,7,e1,0.4381383386502461
30,7,c1,0.37216974847918394
30,7,s1,0.035508167856793504
30,8,e0,0.34911096273215125
30,8,c0,0.30283737530651145
30,8,s0,0.05115915093416805
30,8,e1,0.2729430966688924
30,8,c1,0.08670207014512203
30,8,s1,0.021813557664090776
30,9,e0,0.410440932809061
30,9,c0,0.3177944549908514
30,9,s0,0.04235547295314487
30,9,e1,0.28975937878675473
30,9,c1,0.26338349098388925
30,9,s1,0.013009879683067594
30,10,e0,0.3738407893760665
30,10,c0,0.3120357690209454
30,10,s0,0.07170106622322214
30,10,e1,0.38373272003363257
30,10,c1,0.2960494740078355
30,10,s1,0.01887899833708305
30,11,e0,0.28184583426070187
30,11,c0,0.28810768492987426
30,11,s0,0.01985718477941896
30,11,e1,0.3075648539703737
30,11,c1,0.14574280609209672
30,11,s1,0.0668101340115426
30,12,e0,0.3609812795212306
30,12,c0,0.1392898504381036
30,12,s0,0.01594443901007532
30,12,e1,0.3105324331676435
30,12,c1,0.36090449521974877
30,12,s1,0.035508167856793504
30,13,e0,0.3095432401018869
30,13,c0,0.22397987970410946
30,13,s0,0.04039910006847305
30,13,e1,0.37878675470484957
30,13,c1,0.2903332203690038
30,13,s1,0.036486354299129414
30,14,e0,0.29173776491826797
30,14,c0,0.057994582455000075
30,14,s0,0.028660862760442142
30,14,e1,0.29668373024705097
30,14,c1,0.1082958005100593
30,14,s1,0.037464540741465324
30,15,e0,0.2442564977619507
30,15,c0,0.1286171059719097
30,15,s0,0.032573608529785775
30,15,e1,0.3322946806142889
30,15,c1,0.20740249798486446
30,15,s1,0.029639049202778052
30,16,e0,0.26206197294556965
30,16,c0,0.22206988329946192
30,16,s0,0.027682676318106232
30,16,e1,0.3728515963103099
30,16,c1,0.18828568255383468
30,16,s1,0.027682676318106232
30,17,e0,0.4974899225956426
30,17,c0,0.2974769606568859
30,17,s0,0.04039910006847305
30,17,e1,0.3530677349951777
30,17,c1,0.19271874734235378
30,17,s1,0.01692262545241123
30,18,e0,0.3075648539703737
30,18,c0,0.15216959780542172
30,18,s0,0.009097133913723956
30,18,e1,0.382743526967876
30,18,c1,0.396975377883215
30,18,s1,0.1098503374743226
30,19,e0,0.27887825506343206
30,19,c0,0.025556268188053007
30,19,s0,0.013988066125403504
30,19,e1,0.4163760912036007
30,19,c1,0.5508052097252246
30,19,s1,0.045290032280152596
30,20,e0,0.2541484284195168
30,20,c0,0.17121974422861252
30,20,s0,0.04431184583781669
30,20,e1,0.3639488587185004
30,20,c1,0.4198253795843939
30,20,s1,0.08050474420424533
30,21,e0,0.28382422039221505
30,21,c0,0.24344942021847807
30,21,s0,0.06094101535752715
30,21,e1,0.2571160076167866
30,21,c1,0.24258920990290356
30,21,s1,0.038442727183801234
30,22,e0,0.31844597769369637
30,22,c0,0.11999209819831827
30,22,s0,0.024748116991098506
30,22,e1,0.2798674481291886
30,22,c1,0.14319175473767243
30,22,s1,0.030617235645113962
30,23,e0,0.29668373024705097
30,23,c0,0.25328945981767587
30,23,s0,0.021813557664090776
30,23,e1,0.4786952543462671
30,23,c1,0.4908133435122319
30,23,s1,0.049202778049496236
30,24,e0,0.33427306674580215
30,24,c0,0.06840864514005816
30,24,s0,0.026704489875770322
30,24,e1,0.24623488389346393
30,24,c1,0.18134859692967462
30,24,s1,0.029639049202778052
30,25,e0,0.2976729233128076
30,25,c0,0.13345969786265244
30,25,s0,0.024748116991098506
30,25,e1,0.3313054875485323
30,25,c1,0.1502703120843428
30,25,s1,0.034529981414457595
