bottle,trial,propertyType,property
60,1,e0,0.3595730486991327
60,1,c0,0.14131652488529084
60,1,s0,0.05054945054945055
60,1,e1,0.331900279198478
60,1,c1,0.12719529006907127
60,1,s1,0.08669108669108669
60,2,e0,0.33684184518073773
60,2,c0,0.22787817115950063
60,2,s0,0.041758241758241756
60,2,e1,0.3338769055913819
60,2,c1,0.1337236313877423
60,2,s1,0.05543345543345543
60,3,e0,0.3210288340375065
60,3,c0,0.16095700530719906
60,3,s0,0.0652014652014652
60,3,e1,0.34079509796654556
60,3,c1,0.11413055146625138
60,3,s1,0.05347985347985348
60,4,e0,0.38526919180688357
60,4,c0,0.2827011409438139
60,4,s0,0.06324786324786325
60,4,e1,0.34178341116299754
60,4,c1,0.060668208270569034
60,4,s1,0.035897435897435895
60,5,e0,0.33881847157364164
60,5,c0,0.17609189606670775
60,5,s0,0.04664224664224664
60,5,e1,0.3348652187878338
60,5,c1,0.1374414119616873
60,5,s1,0.0778998778998779
60,6,e0,0.34178341116299754
60,6,c0,0.17335582633654947
60,6,s0,0.036874236874236875
60,6,e1,0.3160872680552467
60,6,c1,0.07424161630305778
60,6,s1,0.05445665445665446
60,7,e0,0.3358535319842858
60,7,c0,0.1620102807375794
60,7,s0,0.03785103785103785
60,7,e1,0.3625379882884886
60,7,c1,0.11706377318302598
60,7,s1,0.031013431013431014
60,8,e0,0.309169075680083
60,8,c0,0.06126406741064564
60,8,s0,0.025152625152625153
60,8,e1,0.3605613618955847
60,8,c1,0.07832314561976707
60,8,s1,0.05641025641025641
60,9,e0,0.3378301583771897
60,9,c0,0.09456502694882107
60,9,s0,0.058363858363858365
60,9,e1,0.34178341116299754
60,9,c1,0.08626800827475278
60,9,s1,0.03492063492063492
60,10,e0,0.3664912410742964
60,10,c0,0.07816689496114396
60,10,s0,0.042735042735042736
60,10,e1,0.3585847355026808
60,10,c1,0.15238643638398117
60,10,s1,0.02905982905982906
60,11,e0,0.3022508833049193
60,11,c0,0.1449715938864384
60,11,s0,0.06422466422466422
60,11,e1,0.3180638944481506
60,11,c1,0.07449261153501842
60,11,s1,0.07301587301587302
60,12,e0,0.3783509994317199
60,12,c0,0.23198999951607252
60,12,s0,0.06227106227106227
60,12,e1,0.3062041360907271
60,12,c1,0.0785463543170987
60,12,s1,0.04664224664224664
60,13,e0,0.34277172435944947
60,13,c0,0.18477138509529936
60,13,s0,0.10818070818070818
60,13,e1,0.30323919650137127
60,13,c1,0.07614942017801445
60,13,s1,0.0485958485958486
60,14,e0,0.34277172435944947
60,14,c0,0.15684717863666262
60,14,s0,0.06129426129426129
60,14,e1,0.3111457020729869
60,14,c1,0.0733110808417083
60,14,s1,0.04566544566544566
60,15,e0,0.29928594371556344
60,15,c0,0.2836448139078903
60,15,s0,0.04468864468864469
60,15,e1,0.3249820868233143
60,15,c1,0.10327139682435937
60,15,s1,0.035897435897435895
60,16,e0,0.375386059842364
60,16,c0,0.03403161933054872
60,16,s0,0.051526251526251524
60,16,e1,0.3477132903417093
60,16,c1,0.10621562236130598
60,16,s1,0.057387057387057384
60,17,e0,0.26765992142910083
60,17,c0,0.02609074338745771
60,17,s0,0.0398046398046398
60,17,e1,0.3062041360907271
60,17,c1,0.18636328614018716
60,17,s1,0.05445665445665446
60,18,e0,0.32695871321621817
60,18,c0,0.1368283563919848
60,18,s0,0.04468864468864469
60,18,e1,0.2894028117510439
60,18,c1,0.07455194582336121
60,18,s1,0.0485958485958486
60,19,e0,0.33881847157364164
60,19,c0,0.2785309499381937
60,19,s0,0.07887667887667887
60,19,e1,0.4089887085217305
60,19,c1,0.4811772670099976
60,19,s1,0.17264957264957265
60,20,e0,0.3378301583771897
60,20,c0,0.1068845573647796
60,20,s0,0.04078144078144078
60,20,e1,0.35463148271687295
60,20,c1,0.1790971142306091
60,20,s1,0.07594627594627594
60,21,e0,0.31213401526943885
60,21,c0,0.08836012284091387
60,21,s0,0.042735042735042736
60,21,e1,0.37044449386010425
60,21,c1,0.23123737445497256
60,21,s1,0.08376068376068375
60,22,e0,0.30323919650137127
60,22,c0,0.10063038115099475
60,22,s0,0.06715506715506715
60,22,e1,0.3487016035381612
60,22,c1,0.1605799679574078
60,22,s1,0.057387057387057384
60,23,e0,0.3506782299310651
60,23,c0,0.1065670466340383
60,23,s0,0.07008547008547009
60,23,e1,0.3289353396091221
60,23,c1,0.09636863102291979
60,23,s1,0.042735042735042736
60,24,e0,0.31312232846589083
60,24,c0,0.07003802499893007
60,24,s0,0.04078144078144078
60,24,e1,0.34079509796654556
60,24,c1,0.12963662103504198
60,24,s1,0.06910866910866911
60,25,e0,0.32992365280557406
60,25,c0,0.1865748108063164
60,25,s0,0.06129426129426129
60,25,e1,0.28643787216168803
60,25,c1,0.05218339599882936
60,25,s1,0.052503052503052504
