generation,trial,propertyType,property
50,-1,m,-1.0
1,2,e,5.2675896179981685e-5
1,2,c,0.03485254691689002
1,2,s,0.0
2,2,e,0.3172974933117231
2,2,c,0.32504350565877266
2,2,s,1.9073486328125e-6
3,2,e,0.5594826163461867
3,2,c,0.764613586012694
3,2,s,0.00527191162109375
4,2,e,0.8708040781206671
4,2,c,0.9286873904154115
4,2,s,0.38010215759277344
5,2,e,0.9800818820456246
5,2,c,0.9887788983787072
5,2,s,0.8481359481811523
6,2,e,0.9976058578648845
6,2,c,0.9978220076872
6,2,s,0.9776468276977539
7,2,e,0.999623232612203
7,2,c,0.999797002822602
7,2,s,0.9972295761108398
8,2,e,0.9990137279013109
8,2,c,0.9992436632097961
8,2,s,0.9986410140991211
9,2,e,0.9996194172462506
9,2,c,0.9995170091082688
9,2,s,0.9986352920532227
10,2,e,0.9995822174282148
10,2,c,0.9995306651698252
10,2,s,0.999201774597168
11,2,e,0.9994582180347628
11,2,c,0.9993378157434242
11,2,s,0.9990406036376953
12,2,e,0.9993361263242867
12,2,c,0.9992709983557755
12,2,s,0.9987945556640625
13,2,e,0.999461079559227
13,2,c,0.999383584762709
13,2,s,0.9987974166870117
14,2,e,0.9993847722401795
14,2,c,0.9992768676969469
14,2,s,0.9988460540771484
15,2,e,0.9997529550545837
15,2,c,0.9997280747600907
15,2,s,0.9991378784179688
16,2,e,0.9991224658309537
16,2,c,0.9995872462792038
16,2,s,0.998875617980957
17,2,e,0.9995946173675602
17,2,c,0.9995951627106466
17,2,s,0.9987173080444336
18,2,e,0.999065235341668
18,2,c,0.9989895734805864
18,2,s,0.9986600875854492
19,2,e,0.9994782487060127
19,2,c,0.9994729986262999
19,2,s,0.9985437393188477
20,2,e,0.9995230792559531
20,2,c,0.9993853725638421
20,2,s,0.9990043640136719
21,2,e,0.9994896948038698
21,2,c,0.9995063388505412
21,2,s,0.9990129470825195
22,2,e,0.9996089249898815
22,2,c,0.9996089883395072
22,2,s,0.9990987777709961
23,2,e,0.9996060634654172
23,2,c,0.9997335899215293
23,2,s,0.9992151260375977
24,2,e,0.9994124336433342
24,2,c,0.9993799351184919
24,2,s,0.999018669128418
25,2,e,0.999593663526072
25,2,c,0.999507823306215
25,2,s,0.9990072250366211
26,2,e,0.9994486796198818
26,2,c,0.9995336916309197
26,2,s,0.9990425109863281
27,2,e,0.9997472320056552
27,2,c,0.999869313893961
27,2,s,0.9991960525512695
28,2,e,0.9997796626162503
28,2,c,0.999789843123865
28,2,s,0.9995269775390625
29,2,e,0.9994830179134532
29,2,c,0.9993970738451082
29,2,s,0.999262809753418
30,2,e,0.9994219720582151
30,2,c,0.9994661326517269
30,2,s,0.9989051818847656
31,2,e,0.9995164023655364
31,2,c,0.9996072723312905
31,2,s,0.9989385604858398
32,2,e,0.9991739732713107
32,2,c,0.9991619439713488
32,2,s,0.9986906051635742
33,2,e,0.9994954178527984
33,2,c,0.9994435360006053
33,2,s,0.9986696243286133
34,2,e,0.9998006471289884
34,2,c,0.9998075895779598
34,2,s,0.9992961883544922
35,2,e,0.9989660358269062
35,2,c,0.9989447639875388
35,2,s,0.9987668991088867
36,2,e,0.9995803097452387
36,2,c,0.999511587038822
36,2,s,0.9985466003417969
37,2,e,0.9996508940153577
37,2,c,0.9996633955978033
37,2,s,0.999232292175293
38,2,e,0.999462033400715
38,2,c,0.999548006409015
38,2,s,0.9991130828857422
39,2,e,0.9995774482207744
39,2,c,0.9996716225327362
39,2,s,0.9990396499633789
40,2,e,0.9996365863930362
40,2,c,0.9996783961535302
40,2,s,0.9992141723632812
41,2,e,0.9992512344318464
41,2,c,0.9991178257077775
41,2,s,0.9988880157470703
42,2,e,0.9996308633441077
42,2,c,0.9997020427679862
42,2,s,0.9988822937011719
43,2,e,0.9993971721795247
43,2,c,0.9994326789032345
43,2,s,0.999028205871582
44,2,e,0.9995173562070245
44,2,c,0.999533855436998
44,2,s,0.9989147186279297
45,2,e,0.9994257874241675
45,2,c,0.9994672432087263
45,2,s,0.9989433288574219
46,2,e,0.9996451709664291
46,2,c,0.9997806866017571
46,2,s,0.9990711212158203
47,2,e,0.9993056033966677
47,2,c,0.9994191415418352
47,2,s,0.9989519119262695
48,2,e,0.9995803097452387
48,2,c,0.9996995333263198
48,2,s,0.9988861083984375
49,2,e,0.999359972361489
49,2,c,0.9993650662883533
49,2,s,0.9989404678344727
50,2,e,0.999491602486846
50,2,c,0.9995240377472214
50,2,s,0.9988517761230469
