generation,trial,propertyType,property
50,-1,m,-1.0
1,1,e,-0.008403361344537816
1,1,c,-0.03321033210332104
1,1,s,0.00390625
2,1,e,0.3437374949979992
2,1,c,0.3253187410105001
2,1,s,0.01171875
3,1,e,0.7519007603041217
3,1,c,0.8500268205556646
3,1,s,0.2265625
4,1,e,0.8599439775910365
4,1,c,0.8732333356788207
4,1,s,0.77734375
5,1,e,0.9119647859143657
5,1,c,0.9167612842984918
5,1,s,0.80859375
6,1,e,0.9799919967987195
6,1,c,0.970812806342476
6,1,s,0.90625
7,1,e,0.9799919967987195
7,1,c,0.9763352434097373
7,1,s,0.96484375
8,1,e,0.6998799519807923
8,1,c,0.7300386102420973
8,1,s,0.66015625
9,1,e,0.7038815526210485
9,1,c,0.7609258521984557
9,1,s,0.44921875
10,1,e,0.8959583833533413
10,1,c,0.9026303293720491
10,1,s,0.6484375
11,1,e,0.8559423769507803
11,1,c,0.8602473294356214
11,1,s,0.82421875
12,1,e,0.8759503801520608
12,1,c,0.9032291262177422
12,1,s,0.765625
13,1,e,0.9079631852741097
13,1,c,0.9079875028646692
13,1,s,0.7890625
14,1,e,0.8759503801520608
14,1,c,0.8506060298443788
14,1,s,0.86328125
15,1,e,0.9119647859143657
15,1,c,0.8676966013275369
15,1,s,0.82421875
16,1,e,0.8839535814325731
16,1,c,0.8768637904089439
16,1,s,0.8203125
17,1,e,0.9919967987194878
17,1,c,0.9828612434974511
17,1,s,0.89453125
18,1,e,1.0
18,1,c,1.0
18,1,s,0.9921875
19,1,e,0.9919967987194878
19,1,c,0.990270935447492
19,1,s,0.9921875
20,1,e,1.0
20,1,c,1.0
20,1,s,0.9921875
21,1,e,0.9959983993597439
21,1,c,0.990270935447492
21,1,s,0.99609375
22,1,e,1.0
22,1,c,1.0
22,1,s,0.99609375
23,1,e,1.0
23,1,c,1.0
23,1,s,1.0
24,1,e,0.9119647859143657
24,1,c,0.8883411281670521
24,1,s,0.9140625
25,1,e,0.9799919967987195
25,1,c,0.980541870894984
25,1,s,0.91015625
26,1,e,0.963985594237695
26,1,c,0.9591964869071884
26,1,s,0.9453125
27,1,e,1.0
27,1,c,1.0
27,1,s,0.96484375
28,1,e,1.0
28,1,c,1.0
28,1,s,1.0
29,1,e,1.0
29,1,c,1.0
29,1,s,1.0
30,1,e,0.9879951980792316
30,1,c,0.9731321789449427
30,1,s,0.98828125
31,1,e,1.0
31,1,c,1.0
31,1,s,0.98828125
32,1,e,0.9679871948779512
32,1,c,0.9666061788572293
32,1,s,0.96875
33,1,e,0.7559023609443778
33,1,c,0.7351311900589061
33,1,s,0.73046875
34,1,e,0.5638255302120848
34,1,c,0.6663772469050422
34,1,s,0.41015625
35,1,e,0.8839535814325731
35,1,c,0.9022913558506915
35,1,s,0.515625
36,1,e,0.7599039615846339
36,1,c,0.7722149025881723
36,1,s,0.82421875
37,1,e,0.8759503801520608
37,1,c,0.8851525993481423
37,1,s,0.796875
38,1,e,0.879951980792317
38,1,c,0.8644539569208681
38,1,s,0.84765625
39,1,e,0.963985594237695
39,1,c,0.9407756976198629
39,1,s,0.85546875
40,1,e,0.959983993597439
40,1,c,0.9416180359473834
40,1,s,0.94140625
41,1,e,0.803921568627451
41,1,c,0.8306228771640458
41,1,s,0.78125
42,1,e,0.9079631852741097
42,1,c,0.9376974244990989
42,1,s,0.8359375
43,1,e,0.9559823929571829
43,1,c,0.980541870894984
43,1,s,0.8828125
44,1,e,0.9759903961584634
44,1,c,0.9763352434097373
44,1,s,0.9296875
45,1,e,0.8399359743897559
45,1,c,0.8018883831677718
45,1,s,0.83203125
46,1,e,0.9319727891156463
46,1,c,0.9355317303169259
46,1,s,0.83984375
47,1,e,0.879951980792317
47,1,c,0.8370795815938128
47,1,s,0.84375
48,1,e,0.9679871948779512
48,1,c,0.9548361810016478
48,1,s,0.875
49,1,e,1.0
49,1,c,1.0
49,1,s,0.96875
50,1,e,0.959983993597439
50,1,c,0.9467230922196688
50,1,s,0.9609375
