generation,trial,propertyType,property
250,-1,m,-1.0
1,22,e,-0.0008558272825211504
1,22,c,-0.023890784982935145
1,22,s,0.0
2,22,e,0.09133368900512084
2,22,c,0.18254403444323286
2,22,s,0.000579833984375
3,22,e,0.13980383567963417
3,22,c,0.0927104375167533
3,22,s,0.002685546875
4,22,e,0.1568669159933535
4,22,c,0.07663598282432416
4,22,s,0.002532958984375
5,22,e,0.19960863373532903
5,22,c,0.07290688383188067
5,22,s,0.0016632080078125
6,22,e,0.17576309356548492
6,22,c,0.08865586814270647
6,22,s,0.0021514892578125
7,22,e,0.19194017687097173
7,22,c,0.08525766334755024
7,22,s,0.0019683837890625
8,22,e,0.2033359314941003
8,22,c,0.10587516577079159
8,22,s,0.0024871826171875
9,22,e,0.1608233509094263
9,22,c,0.1050804718414014
9,22,s,0.0025482177734375
10,22,e,0.19198600430243204
10,22,c,0.10673516672095466
10,22,s,0.00262451171875
11,22,e,0.2148997200325833
11,22,c,0.18029961110102663
11,22,s,0.0026092529296875
12,22,e,0.20219024570759273
12,22,c,0.16972116945039725
12,22,s,0.0027008056640625
13,22,e,0.17655743571079685
13,22,c,0.08119349387081605
13,22,s,0.002105712890625
14,22,e,0.20255686515927515
14,22,c,0.10115144417702536
14,22,s,0.0021820068359375
15,22,e,0.21242503873372698
15,22,c,0.1141311904644552
15,22,s,0.00274658203125
16,22,e,0.209400428257347
16,22,c,0.04856467557571827
16,22,s,0.004852294921875
17,22,e,0.20278600231657667
17,22,c,0.10547112971015875
17,22,s,0.0028839111328125
18,22,e,0.18806012100733277
18,22,c,0.12789280471221876
18,22,s,0.003570556640625
19,22,e,0.18439392649050856
19,22,c,0.15733028387990855
19,22,s,0.00250244140625
20,22,e,0.1821789339699273
20,22,c,0.1330138698142218
20,22,s,0.0028228759765625
21,22,e,0.1605942137521248
21,22,c,0.15942246354168804
21,22,s,0.002349853515625
22,22,e,0.20823946666035267
22,22,c,0.1635976070510193
22,22,s,0.0029449462890625
23,22,e,0.19273451901628363
23,22,c,0.10282418075685272
23,22,s,0.002838134765625
24,22,e,0.18890029058410499
24,22,c,0.06882350090288919
24,22,s,0.0025177001953125
25,22,e,0.22916732702722417
25,22,c,0.168823480768646
25,22,s,0.003875732421875
26,22,e,0.1257348142213213
26,22,c,-0.023890784982935145
26,22,s,0.00439453125
27,22,e,0.21526633948426574
27,22,c,0.2553076640914366
27,22,s,0.018035888671875
28,22,e,0.22847991555531963
28,22,c,0.34854053379544875
28,22,s,0.009552001953125
29,22,e,0.27710282033470063
29,22,c,0.3039996668952768
29,22,s,0.010986328125
30,22,e,0.24334327915894444
30,22,c,0.4020469220409425
30,22,s,0.0207672119140625
31,22,e,0.2683650567362696
31,22,c,0.3511408619093394
31,22,s,0.01812744140625
32,22,e,0.46687421401181356
32,22,c,0.5832430512421816
32,22,s,0.0643463134765625
33,22,e,0.47533701302148273
33,22,c,0.6457869123367228
33,22,s,0.15411376953125
34,22,e,0.5805567956543374
34,22,c,0.7331640716771595
34,22,s,0.2063446044921875
35,22,e,0.6149426450600511
35,22,c,0.7742986589156209
35,22,s,0.2960205078125
36,22,e,0.6470523987032364
36,22,c,0.8305889871843167
36,22,s,0.353851318359375
37,22,e,0.6390173223871968
37,22,c,0.7890872697007947
37,22,s,0.3683319091796875
38,22,e,0.6068159138810908
38,22,c,0.6978035419599818
38,22,s,0.3340606689453125
39,22,e,0.5590942819204291
39,22,c,0.71484462163846
39,22,s,0.2784576416015625
40,22,e,0.6321737592891249
40,22,c,0.7212505750907819
40,22,s,0.29766845703125
41,22,e,0.688083225670694
41,22,c,0.7778957892206901
41,22,s,0.40106201171875
42,22,e,0.6673233992191769
42,22,c,0.7770729062010698
42,22,s,0.4302978515625
43,22,e,0.7089958102270787
43,22,c,0.7985392371162466
43,22,s,0.431121826171875
44,22,e,0.6446082690253536
44,22,c,0.7891291977875062
44,22,s,0.4163360595703125
45,22,e,0.6271785692599519
45,22,c,0.7825711345009516
45,22,s,0.3614501953125
46,22,e,0.6941477224339407
46,22,c,0.8190606078859195
46,22,s,0.4066314697265625
47,22,e,0.6653222680454104
47,22,c,0.8213971354287887
47,22,s,0.417327880859375
48,22,e,0.6148968176285908
48,22,c,0.7519523446490067
48,22,s,0.3690338134765625
49,22,e,0.5320713731693373
49,22,c,0.6827608864434755
49,22,s,0.2696990966796875
50,22,e,0.6318682430793895
50,22,c,0.7271195283830656
50,22,s,0.2802886962890625
51,22,e,0.6686371189210389
51,22,c,0.8042938030893811
51,22,s,0.3687286376953125
52,22,e,0.6834546550932035
